layer,feature,label,f1_score,accuracy,precision,recall,main_theme,sub_theme
22,67,Monetary policy and interest rate adjustments by central banks,0.333,0.385,1.0,0.2,And & Contexts,And Contexts
22,148,Common structural elements in financial and technical text,0.875,0.785,0.79,0.98,And & Time,And Elements
28,278,Business metrics and financial performance indicators,0.644,0.523,0.757,0.56,And & Metrics,And Performance
16,333,Quantitative financial data and performance metrics,0.597,0.523,0.852,0.46,And & Metrics,And Performance
22,257,Company or individual's attributes or actions,0.772,0.646,0.765,0.78,And & Contexts,And Contexts
28,70,Financial and business-related actions and events,0.785,0.646,0.737,0.84,And & Contexts,And Concepts
22,37,"End of sentences, marked by periods.",0.133,0.48,0.25,0.091,Stock & And,End Sentences
10,14,Time periods and financial performance metrics,0.659,0.538,0.763,0.58,And & Time,Time Periods
16,234,Financial and market-related terms and trends,0.847,0.738,0.77,0.94,And & Economic,And Stock
28,337,Commas separating elements in complex financial and business statements,0.148,0.292,1.0,0.08,And & Contexts,And Contexts
10,272,"Segments of names, companies, and financial terms",0.857,0.754,0.774,0.96,And & Names,And Tech
22,237,"Fragments of financial and technical terms, emphasizing specific parts for context.",0.841,0.738,0.789,0.9,And & Time,And Technical
10,70,"Financial and market-related terms, focusing on stocks and investment.",0.889,0.8,1.0,0.8,And & Economic,And Stock
28,385,"Financial and market-related content, including stock prices, trends, and company news.",0.75,0.6,0.722,0.78,And & Economic,And Stock
28,117,Financial and stock market-related terms and symbols,0.808,0.692,0.778,0.84,And & Economic,And Stock
28,221,"Business processes, financial metrics, and customer relationships in various industries",0.849,0.754,0.804,0.9,And & Metrics,And Metrics
4,165,Specific dates and time-related terms in financial contexts,0.431,0.431,0.933,0.28,And & Time,Contexts And
22,297,Actions and conditions influencing financial or strategic outcomes,0.792,0.662,0.75,0.84,And & Contexts,And Contexts
16,197,"Financial and business actions and goals, including investments, growth, and strategic positioning.",0.849,0.754,0.804,0.9,And & Contexts,And States
10,49,Key phrases indicating significant business or financial impact,0.745,0.631,0.795,0.7,And & Contexts,And Words
28,263,First letter of significant financial terms or proper nouns,0.807,0.677,0.746,0.88,And & Contexts,And Words
22,177,"Financial and business terms related to growth, revenue, and market performance.",0.8,0.692,0.8,0.8,And & Contexts,And Performance
4,256,"Proper nouns, company names, and key financial terms",0.819,0.708,0.782,0.86,And & Names,And Names
16,149,"Fragments of company names, stock symbols, and financial terms",0.785,0.646,0.737,0.84,And & Names,And Names
10,373,"Key business and finance terms, including names and financial metrics",0.781,0.646,0.745,0.82,And & Contexts,And Contexts
28,197,"Relationships and roles within organizational structures, particularly in finance and leadership.",0.29,0.323,0.75,0.18,And & Contexts,And Contexts
4,355,"Financial and business terms, including monetary values and specific actions",0.818,0.692,0.75,0.9,And & Contexts,And Performance
4,375,"Identifies and processes parts of proper nouns, especially names and company names.",0.773,0.692,0.895,0.68,And & Names,And Names
10,192,End of sentences in financial and stock-related news or statements.,0.364,0.44,0.364,0.364,Stock & And,End Sentences
10,15,End of sentences in financial and stock-related contexts.,0.476,0.56,0.5,0.455,Stock & And,End Sentences
22,21,Business strategies and financial expectations in market actions,0.765,0.631,0.75,0.78,And & Economic,And Contexts
4,9,Investor sentiment and financial market analysis,0.707,0.554,0.729,0.686,And & Economic,And Contexts
28,176,Financial actions and metrics in business contexts,0.688,0.538,0.733,0.647,And & Contexts,And Contexts
28,2,Financial and market-related terms and indicators,0.738,0.585,0.717,0.76,And & Economic,And Stock
4,77,Names and company names in financial and business contexts,0.768,0.646,0.792,0.745,And & Names,And Names
28,216,"Transitions, actions, and business strategies in financial and market contexts",0.582,0.492,0.793,0.46,And & Economic,And Contexts
10,92,Sentence boundaries and punctuation marks,0.0,0.56,0.0,0.0,And & Contexts,Sentence And
28,259,Financial and company-related terms or locations,0.839,0.723,0.77,0.922,And & Contexts,And Contexts
10,46,Common short words or characters in financial articles,0.83,0.709,0.722,0.975,And & Contexts,And Words
4,229,Comparative financial performance and market metrics,0.623,0.554,0.889,0.48,And & Economic,And Performance
10,12,"Financial and business-related terms, including investments, company actions, and market trends.",0.958,0.92,1.0,0.92,And & Contexts,And Concepts
28,223,Financial market performance and investor sentiment,0.69,0.585,0.811,0.6,And & Economic,And Contexts
16,282,"Financial and business-related terms, focusing on corporate achievements and metrics",0.747,0.615,0.771,0.725,And & Contexts,And Concepts
10,328,"Segments of company names, financial terms, and technical jargon",0.865,0.769,0.787,0.96,And & Names,And Names
28,304,Financial and tech news article titles and introductions,0.792,0.662,0.764,0.824,And & Contexts,And News
16,318,Financial and technical details in business and technology contexts,0.87,0.785,0.81,0.94,And & Time,And Technical
4,235,Economic and business-specific terms and locations,0.839,0.723,0.758,0.94,And & Contexts,And Tech
16,53,"Financial figures, dates, and company actions",0.739,0.631,0.81,0.68,And & Contexts,And Values
10,122,Financial actions and outcomes driving business growth and market impact,0.674,0.569,0.806,0.58,And & Contexts,And Contexts
10,310,Structural elements and metadata in stock-related articles and updates.,0.774,0.677,0.837,0.72,And & Contexts,And Elements
22,211,Financial performance metrics and stock market trends,0.735,0.6,0.75,0.72,And & Metrics,And Performance
4,258,Ownership or association of entities with specific attributes or actions,0.675,0.6,0.9,0.54,And & Contexts,And Tech
22,269,Automotive industry terms and customer relationship dynamics,0.448,0.431,0.882,0.3,And & Contexts,And Contexts
10,265,Contractions and sentence endings,0.56,0.492,0.84,0.42,And & Contexts,Sentence And
4,369,Temporal and contextual markers in financial and business contexts,0.742,0.615,0.766,0.72,And & Contexts,And Contexts
10,191,Financial and stock-related terms and symbols,0.768,0.646,0.776,0.76,Stock & And,And Stock
28,77,Market sentiment and investor perceptions influencing stock performance and economic conditions.,0.774,0.677,0.857,0.706,And & Economic,And Contexts
4,7,Specific dates or times of events or publications,0.413,0.431,1.0,0.26,And & Contexts,And Tech
22,368,Financial and business-specific terms and actions,0.857,0.754,0.774,0.96,And & Contexts,And Tech
10,72,"Diverse economic sectors, companies, and financial metrics",0.765,0.631,0.75,0.78,And & Metrics,And Metrics
4,171,Comparative financial metrics and performance indicators,0.4,0.354,0.7,0.28,And & Metrics,And Performance
4,263,Conjunctions and connectors linking related ideas or entities,0.61,0.508,0.781,0.5,And & Contexts,And Punctuation
16,289,"Investor and consumer intentions, expectations, and actions in financial contexts.",0.761,0.662,0.833,0.7,And & Contexts,Contexts And
28,128,Financial and business-related terms and events,0.844,0.738,0.78,0.92,And & Contexts,And Concepts
28,48,End of sentence marker,0.125,0.44,0.2,0.091,Sentence & Marker,Sentence End
16,399,"Financial and business terms, focusing on stocks and market performance.",0.733,0.585,0.74,0.725,And & Contexts,And Performance
4,337,"Stock-related financial events, trends, and company-specific news",0.707,0.554,0.714,0.7,And & Contexts,And Tech
16,90,Economic indicators and financial performance metrics,0.634,0.538,0.812,0.52,And & Metrics,And Performance
22,12,"Financial actions and transitions (start, finish, continue)",0.541,0.477,0.833,0.4,And & Contexts,And Contexts
16,122,Financial metrics and performance indicators in business and stock reports,0.783,0.692,0.857,0.72,And & Metrics,And Performance
22,29,"Financial and investment-related terms, focusing on investor actions and market analysis.",0.723,0.6,0.791,0.667,And & Economic,And Performance
4,220,Punctuation and article titles in financial news contexts,0.723,0.6,0.773,0.68,And & Contexts,And News
22,110,Sentence termination marker,0.375,0.6,0.6,0.273,Sentence & Marker,Sentence And
22,388,"Financial trends, predictions, and market conditions",0.772,0.646,0.765,0.78,And & Economic,And Contexts
16,68,Business and financial actions or states using modal and auxiliary verbs,0.5,0.477,0.944,0.34,And & Contexts,And States
28,32,Structural elements and common words at sentence boundaries,0.507,0.462,0.857,0.36,And & Contexts,And Elements
28,228,Financial and business-related actions and outcomes,0.796,0.662,0.741,0.86,And & Contexts,And Concepts
22,288,Financial and stock-related terms and concepts,0.828,0.738,0.837,0.82,Stock & And,And Stock
4,207,"Financial and investment terms, focusing on portfolio and market dynamics.",0.713,0.615,0.838,0.62,And & Economic,And Performance
28,389,"Financial actions, trends, and indicators",0.8,0.677,0.764,0.84,And & Economic,And Contexts
22,171,"Actions, decisions, and changes in financial and tech sectors.",0.747,0.615,0.771,0.725,And & Contexts,And Tech
10,340,Financial terms and market trends,0.708,0.569,0.739,0.68,And & Economic,And Contexts
10,98,Nuanced contrasts and qualifications in financial and business contexts,0.605,0.538,0.885,0.46,And & Contexts,And Contexts
22,38,Corporate performance and market expectations,0.423,0.369,0.714,0.3,And & Economic,And Performance
16,386,"Financial transactions and market activities, including dividends and deals.",0.784,0.677,0.809,0.76,And & Economic,And Contexts
16,196,Financial and technical term fragments and punctuation,0.855,0.754,0.783,0.94,And & Time,And Technical
10,362,Financial and stock market-related terms and metrics,0.765,0.631,0.75,0.78,And & Economic,And Stock
4,224,Relationships and transitions in business and financial contexts,0.644,0.523,0.757,0.56,And & Contexts,Contexts And
10,198,Financial and market-related decision-making and strategies,0.772,0.646,0.78,0.765,And & Economic,And Stock
22,87,"Economic and financial concepts, including growth, rates, and market dynamics.",0.804,0.692,0.788,0.82,And & Economic,And Contexts
16,94,"Time periods, company names, significant events",0.816,0.708,0.792,0.84,And & Time,Time Periods
28,315,Transitions and connections in financial and business contexts,0.723,0.6,0.773,0.68,And & Contexts,And Contexts
22,360,Prepositions and articles near financial or business terms,0.841,0.738,0.804,0.882,And & Contexts,And Performance
22,182,"Financial and economic terms, market movements, and economic indicators",0.784,0.662,0.769,0.8,And & Economic,And Economic
4,206,Titles and key points in financial news articles,0.667,0.585,0.871,0.54,And & Contexts,And News
4,373,"Financial and business-related terms, focusing on investments, market trends, and company actions.",0.901,0.82,1.0,0.82,And & Contexts,And Concepts
4,363,End of sentence or significant pause marker,0.143,0.52,0.25,0.1,Sentence & Marker,Sentence End
10,332,Fragments of words and locations in business and technology contexts,0.829,0.708,0.754,0.92,And & Contexts,And Words
28,177,"Financial and technological terms, including stock symbols, company names, and product specs.",0.84,0.754,0.84,0.84,And & Names,And Names
10,54,"Punctuation, specific terms, and transitions in financial and business contexts",0.839,0.723,0.758,0.94,And & Contexts,And Contexts
16,160,Financial and technical content markers,0.767,0.622,0.651,0.933,And & Time,And Technical
4,48,"Sentence boundary marker, specifically periods.",0.545,0.6,0.545,0.545,Sentence & Marker,Sentence Boundary
22,33,"Refers to specific, previously mentioned or well-known entities or periods.",0.466,0.4,0.739,0.34,And & Contexts,And Tech
4,343,Negation or absence of a condition or action,0.406,0.415,0.929,0.26,And & Contexts,And Contexts
16,248,End of sentence in financial contexts,0.533,0.72,0.8,0.4,Sentence & Marker,Sentence End
16,368,"Corporate and financial terminology, including business operations and market performance.",0.829,0.708,0.754,0.92,And & Economic,And Contexts
4,176,"Technological and financial innovation, disruption, and investment in AI and tech.",0.658,0.6,0.962,0.5,And & Contexts,And Tech
16,2,"Corporate actions, leadership changes, and financial policies",0.435,0.4,0.789,0.3,And & Contexts,And Contexts
22,259,Specific temporal markers in financial contexts,0.622,0.569,0.958,0.46,And & Contexts,Contexts And
22,10,Fragments of financial and business-related terms and company names,0.839,0.723,0.758,0.94,And & Names,And Names
10,229,"Financial news and market updates, with emphasis on punctuation and numbers.",0.629,0.492,0.718,0.56,And & Contexts,And News
16,87,Financial news and stock market-related terms and phrases,0.852,0.754,0.807,0.902,And & Economic,And Stock
4,4,Financial performance and business recovery metrics,0.554,0.431,0.697,0.46,And & Metrics,And Performance
22,343,Commas separating clauses or items in financial and technical contexts,0.556,0.508,0.909,0.4,And & Time,And Technical
22,103,Financial and technical context markers,0.829,0.708,0.754,0.92,And & Time,And Technical
22,186,"Business relationships, investments, and strategic actions in tech and finance",0.643,0.538,0.794,0.54,And & Contexts,And Contexts
16,192,Key points or transitions in financial or stock-related sentences.,0.571,0.52,0.444,0.8,Stock & And,And Contexts
22,291,Financial and stock market news terminology,0.804,0.677,0.768,0.843,And & Economic,And Contexts
16,297,"Company names, stock-related terms, financial metrics",0.727,0.585,0.735,0.72,And & Names,And Names
22,115,"Business and economic concepts, including financial terms and market trends.",0.969,0.94,1.0,0.94,And & Economic,And Economic
16,75,"Financial and business terms, focusing on capital, crude, and customer satisfaction.",0.705,0.6,0.816,0.62,And & Contexts,And Performance
10,398,"Punctuation marks, especially periods, commas, and quotation marks",0.529,0.508,1.0,0.36,And & Contexts,Sentence And
16,288,Temporal and conditional contexts in financial and stock-related discussions,0.714,0.631,0.882,0.6,And & Contexts,And Contexts
16,236,Financial and business-related predictions and outcomes,0.781,0.646,0.745,0.82,And & Contexts,And Concepts
22,62,Common words and parts of words in financial and tech contexts,0.85,0.738,0.762,0.96,And & Contexts,And Words
22,199,"References to economic policies, financial decisions, and corporate actions.",0.822,0.708,0.786,0.863,And & Contexts,And Contexts
28,343,Punctuation and time-related terms in financial and business contexts,0.733,0.631,0.825,0.66,And & Contexts,And Contexts
16,379,"Financial and business-related terms, including company names and product launches.",0.833,0.723,0.776,0.9,And & Names,And Names
28,316,Financial metrics and market conditions over specific time periods,0.681,0.554,0.756,0.62,And & Time,Time Periods
22,374,"Financial and economic terms, market dynamics, and conditions",0.815,0.692,0.759,0.88,And & Economic,And Economic
16,370,Time-stamped financial events and market updates,0.543,0.508,0.95,0.38,And & Contexts,And Contexts
10,366,Financial and business performance indicators and terms,0.688,0.554,0.762,0.627,And & Metrics,And Performance
16,77,Financial and business terms related to market dynamics and company performance,0.788,0.662,0.759,0.82,And & Contexts,And Performance
28,4,"Financial and business-related terms, including company names and financial metrics.",0.826,0.708,0.763,0.9,And & Names,And Names
22,28,Financial and market-related word fragments and numbers,0.841,0.738,0.789,0.9,And & Economic,And Stock
16,48,"Sentence boundary marker, specifically periods.",0.5,0.6,0.556,0.455,Sentence & Marker,Sentence Boundary
16,135,Hyphens denote connections or transitions in financial and technical contexts.,0.64,0.585,0.96,0.48,And & Time,And Technical
22,398,Sentence boundaries and transitional elements,0.113,0.06,1.0,0.06,And & Contexts,Sentence And
22,78,"Financial and business metrics, product launches, market performance",0.833,0.723,0.789,0.882,And & Metrics,And Contexts
22,50,"Financial and investment terms, focusing on portfolios and market performance.",0.681,0.554,0.756,0.62,And & Economic,And Performance
28,179,"Industry-specific terms in finance, tech, and business contexts",0.808,0.692,0.778,0.84,And & Contexts,And Tech
22,155,"Fragments of names, numbers, and symbols in financial and tech contexts",0.829,0.708,0.767,0.902,And & Contexts,And Tech
28,308,Financial news and analyst statements,0.8,0.692,0.8,0.8,And & Contexts,And News
16,310,Financial performance and stock market trends,0.809,0.723,0.884,0.745,And & Economic,And Performance
16,335,Denotes specific time periods or contexts in financial discussions,0.444,0.308,0.6,0.353,And & Time,Time Periods
22,341,"Financial and market-specific terms, including stocks, economic indicators, and investment actions.",0.769,0.631,0.755,0.784,And & Economic,And Economic
22,123,Company names and financial terms in stock market and investment contexts,0.788,0.677,0.796,0.78,And & Names,And Names
22,170,Key financial and economic indicators and events affecting stock performance.,0.619,0.508,0.765,0.52,And & Economic,And Economic
28,202,"Common functional words and punctuation, indicating structural roles.",0.241,0.323,0.875,0.14,And & Contexts,And Words
22,357,Financial and market-related events or trends,0.762,0.615,0.727,0.8,And & Economic,And Stock
10,214,Punctuation and short words in financial and market contexts,0.8,0.677,0.778,0.824,And & Contexts,And Words
28,22,"Corporate actions, financial events, and strategic moves in business contexts.",0.644,0.523,0.757,0.56,And & Contexts,And Contexts
22,296,Common financial and business terms and suffixes,0.796,0.662,0.741,0.86,And & Contexts,And Performance
4,294,Contrast or unexpected outcomes in financial contexts,0.543,0.508,0.95,0.38,And & Contexts,Contexts And
16,92,End of sentences in financial and stock-related contexts.,0.5,0.44,0.389,0.7,Stock & And,End Sentences
16,226,"Sentence-ending punctuation, especially periods.",0.507,0.492,1.0,0.34,And & Contexts,Sentence And
10,161,"Financial and economic terms, company names, and indicators",0.99,0.98,1.0,0.98,And & Names,And Economic
28,38,Balance or combination of financial elements,0.323,0.354,0.833,0.2,And & Contexts,And Elements
16,246,"Financial metrics, stock symbols, and specific numerical values",0.779,0.677,0.822,0.74,And & Metrics,And Values
28,326,"Company names, stock-related terms, and key financial figures",0.757,0.615,0.736,0.78,And & Names,And Names
10,170,Time periods and durations in financial contexts,0.548,0.492,0.87,0.4,And & Time,Time Periods
16,104,"Financial and business-related terms, including specific numbers and company names.",0.836,0.723,0.78,0.902,And & Names,And Names
28,351,"Key actors, actions, or entities in business and financial contexts",0.826,0.708,0.763,0.9,And & Contexts,Contexts And
4,215,End of sentences in financial and stock-related text.,0.471,0.64,0.571,0.4,Stock & And,End Sentences
10,154,Punctuation and financial terms in news headlines and articles,0.674,0.538,0.738,0.62,And & Contexts,And Words
22,183,Notable financial metrics or events at specific points in time,0.532,0.431,0.75,0.412,And & Time,And Metrics
28,163,Temporal and contextual markers in financial and news contexts,0.707,0.554,0.729,0.686,And & Contexts,And News
4,335,"Financial and market-related terms, focusing on stock performance and economic indicators.",0.845,0.769,0.891,0.804,And & Economic,And Stock
28,145,Temporal and positional information in financial and market contexts,0.69,0.585,0.811,0.6,And & Economic,And Contexts
28,167,Key financial terms and indicators,0.745,0.631,0.795,0.7,And & Contexts,And Contexts
4,102,"Punctuation marks denoting financial values, ranges, or quoted text",0.742,0.615,0.766,0.72,And & Contexts,Sentence And
4,348,Punctuation and common words in financial articles,0.682,0.569,0.811,0.588,And & Contexts,And Words
10,132,"Technology, finance, and business-related terms and concepts",0.86,0.754,0.778,0.961,And & Contexts,And Concepts
28,9,"Financial performance, market trends, and strategic business decisions",0.8,0.677,0.778,0.824,And & Economic,And Performance
22,200,Ongoing actions or states in financial and market contexts,0.486,0.446,0.85,0.34,And & Economic,And States
4,5,Pronouns referring to entities in financial and business contexts,0.788,0.677,0.796,0.78,And & Contexts,And Contexts
22,98,Temporal context and specific time periods,0.587,0.523,0.88,0.44,And & Time,Time Periods
10,274,Comparative financial metrics and stock performance indicators,0.56,0.492,0.84,0.42,And & Metrics,And Performance
4,140,"Business, technology, and medical terms and concepts",0.875,0.785,0.803,0.961,And & Contexts,And Contexts
22,223,Modifiers emphasizing specific nuances in financial contexts,0.388,0.369,0.765,0.26,And & Contexts,Contexts And
28,30,"Financial and investment terms, stock performance, and metrics",0.781,0.646,0.759,0.804,And & Metrics,And Performance
28,310,"Punctuation marks, especially periods, signaling sentence endings.",0.387,0.415,1.0,0.24,And & Contexts,Sentence And
4,13,"End of sentences, marked by periods.",0.286,0.6,0.5,0.2,Stock & And,End Sentences
22,271,Names and titles of influential financial figures and companies,0.738,0.662,0.912,0.62,And & Contexts,And Values
10,63,"Economic and market-related terms, including macroeconomic conditions and specific years.",0.717,0.6,0.786,0.66,And & Economic,And Stock
10,379,Financial and market-related entities and concepts,0.947,0.9,1.0,0.9,And & Economic,And Stock
22,376,Capitalized words or significant terms in titles or financial contexts,0.796,0.677,0.774,0.82,And & Contexts,And Words
4,161,"Financial terms, company names, and specific figures",0.78,0.662,0.78,0.78,And & Names,And Names
16,80,Comma usage and conditional structuring in complex sentences,0.075,0.246,0.667,0.04,And & Contexts,And Contexts
10,227,Company financial metrics and stock performance indicators,0.568,0.462,0.742,0.46,And & Metrics,And Performance
4,142,Organizational entities and financial terms in business and investment contexts,0.804,0.692,0.788,0.82,And & Contexts,And Contexts
22,151,Sentence structure and transitional elements,0.143,0.262,0.8,0.078,And & Contexts,And Punctuation
22,305,"Company names, stock symbols, and financial terms in business contexts",0.8,0.677,0.764,0.84,And & Names,And Names
22,372,Prepositions and conjunctions in technology and finance contexts,0.76,0.631,0.76,0.76,And & Contexts,And Punctuation
22,220,Financial and business-related terms and concepts,0.969,0.94,1.0,0.94,And & Contexts,And Concepts
22,352,Key terms and actions in business and financial news contexts,0.811,0.692,0.768,0.86,And & Contexts,And News
22,79,Financial market activities and economic indicators,0.784,0.662,0.769,0.8,And & Economic,And Economic
28,382,Punctuation marks structuring financial and business sentences,0.507,0.462,0.9,0.353,And & Contexts,Sentence And
28,384,"Financial performance and market trends, including growth, revenue, and stock movements.",0.83,0.723,0.8,0.863,And & Economic,And Performance
28,178,Parts of significant words in financial and tech contexts,0.85,0.738,0.774,0.941,And & Contexts,And Words
22,363,End of sentence or significant clause in financial contexts,0.64,0.64,0.533,0.8,Sentence & Marker,Sentence End
28,79,Financial market dynamics and stock performance indicators,0.729,0.6,0.778,0.686,And & Economic,And Performance
28,231,Financial metrics and market performance indicators,0.698,0.6,0.833,0.6,And & Metrics,And Performance
28,222,"Financial and business terms, focusing on investments, stocks, and economic concepts.",0.855,0.754,0.783,0.94,And & Contexts,And Performance
16,12,"Company names, financial terms, and technology keywords",0.847,0.738,0.783,0.922,And & Names,And Names
10,253,"Financial and business actions, trends, and processes",0.807,0.677,0.746,0.88,And & Contexts,And States
4,68,"Actions, expectations, or future possibilities in financial contexts",0.714,0.569,0.729,0.7,And & Contexts,Contexts And
10,181,"Tech company names, financial terms, and growth-related phrases",0.83,0.723,0.8,0.863,And & Names,And Names
22,330,"Financial transactions, stock market activities, and real estate dealings",0.857,0.769,0.818,0.9,And & Economic,And Contexts
28,53,Financial and economic indicators in market trends and predictions,0.682,0.569,0.789,0.6,And & Economic,And Economic
28,279,Financial and business terms in tech and AI contexts,0.811,0.692,0.768,0.86,And & Contexts,And Performance
10,391,Financial metrics and market performance indicators,0.659,0.523,0.75,0.588,And & Metrics,And Performance
10,85,Financial metrics and economic indicators in business contexts,0.682,0.569,0.789,0.6,And & Metrics,And Metrics
28,3,"Economic and financial news, market trends, and company performance indicators.",0.843,0.754,0.843,0.843,And & Economic,And Economic
16,268,Financial and market actions and transitions,0.784,0.677,0.826,0.745,And & Economic,And Contexts
22,218,"Punctuation marks, especially periods, in financial and stock-related content.",0.732,0.686,0.714,0.75,And & Contexts,Sentence And
16,26,Punctuation and conjunctions for sentence structure and flow,0.039,0.246,1.0,0.02,And & Contexts,And Punctuation
10,324,"Introduces or describes specific actions, events, or details in financial contexts.",0.659,0.523,0.732,0.6,And & Contexts,Contexts And
4,159,Years and dates in financial and stock contexts,0.623,0.554,0.889,0.48,And & Contexts,And Contexts
28,91,Functional words with strong contextual roles,0.514,0.446,0.792,0.38,And & Contexts,And Words
10,311,Economic indicators and market conditions influencing financial decisions and trends.,0.83,0.754,0.886,0.78,And & Economic,And Economic
4,62,"Business and financial terms, focusing on tech and healthcare sectors.",0.784,0.677,0.809,0.76,And & Contexts,And Performance
22,13,End of sentence marker,0.286,0.6,0.5,0.2,Sentence & Marker,Sentence End
28,345,"Business and financial concepts, including market dynamics, company performance, and economic indicators.",0.862,0.769,0.797,0.94,And & Economic,And Economic
28,201,Temporal relationships and specific actions in financial and corporate contexts,0.635,0.523,0.771,0.54,And & Contexts,And Tech
22,46,Financial metrics and years in market contexts,0.69,0.6,0.853,0.58,And & Metrics,And Metrics
22,24,Technological and computational concepts and applications,0.424,0.415,0.875,0.28,And & Contexts,And Contexts
16,242,Financial and market-related statements and transitions,0.796,0.662,0.741,0.86,And & Economic,And Stock
4,80,Punctuation and conjunctions in financial text structure,0.344,0.354,0.786,0.22,And & Contexts,And Punctuation
16,280,"Transitions, forecasts, and ongoing/future actions",0.406,0.415,0.929,0.26,And & Contexts,And Contexts
16,111,Temporal transitions and shifts in context,0.514,0.477,0.947,0.353,And & Contexts,And Contexts
28,14,Focus on word fragments and key letters,0.788,0.677,0.796,0.78,And & Contexts,And Contexts
22,122,Financial and market-related terms and indicators,0.784,0.662,0.769,0.8,And & Economic,And Stock
28,276,Verbs and auxiliary verbs indicating states or actions,0.625,0.538,0.862,0.49,And & Contexts,And States
28,362,Prepositions and conjunctions linking business and financial concepts,0.719,0.615,0.821,0.64,And & Contexts,And Punctuation
28,39,Sentence-ending punctuation in financial and stock-related contexts,0.529,0.543,0.692,0.429,Stock & And,Sentence And
22,293,Financial and business-specific terms and concepts,0.826,0.708,0.776,0.882,And & Contexts,And Tech
16,93,End of sentence marker,0.133,0.48,0.25,0.091,Sentence & Marker,Sentence End
16,146,Financial and economic terms related to market performance and trends,0.792,0.692,0.826,0.76,And & Economic,And Economic
16,327,Financial and stock market entities and terms,0.815,0.692,0.759,0.88,And & Economic,And Contexts
22,335,"Titles, roles, and specific financial terms in business contexts",0.717,0.6,0.786,0.66,And & Contexts,And Contexts
16,103,"Fragments of company names, financial terms, and punctuation in stock news",0.836,0.723,0.78,0.902,And & Names,And Names
10,249,"Key financial and business events, turning points, strategic moves, market reactions",0.635,0.523,0.771,0.54,And & Contexts,And Contexts
10,369,Introduces or emphasizes key financial/business statements or transitions,0.56,0.492,0.84,0.42,And & Contexts,And Contexts
4,359,Quotation marks and apostrophes denote titles or direct quotes.,0.684,0.631,1.0,0.52,And & Contexts,And Contexts
28,378,Financial trends and market movements,0.742,0.615,0.766,0.72,And & Economic,And Contexts
10,374,Financial metrics and numerical values in economic and company reports,0.694,0.538,0.708,0.68,And & Metrics,And Values
16,372,AI and smart technology capabilities in devices and companies,0.333,0.385,1.0,0.2,And & Contexts,And Tech
4,152,Financial and business-related terms and metrics,0.936,0.88,1.0,0.88,And & Contexts,And Concepts
22,242,Titles and publication details of stock-related news articles,0.622,0.569,1.0,0.451,And & Contexts,And News
22,231,Financial performance indicators and market trends,0.745,0.631,0.795,0.7,And & Economic,And Performance
28,215,End of sentences in financial and stock-related contexts,0.651,0.571,0.636,0.667,Stock & And,End Sentences
28,203,"Financial and stock market terms, including company names and metrics",0.852,0.754,0.807,0.902,And & Names,And Names
16,305,"Financial metrics, percentages, and economic indicators in business contexts",0.739,0.631,0.829,0.667,And & Metrics,And Metrics
4,227,"Technology companies, AI, and stock-related terms",0.758,0.646,0.8,0.72,And & Contexts,And Tech
10,142,"Numerical values, monetary amounts, and percentages with symbols",0.63,0.585,1.0,0.46,And & Contexts,And Values
10,107,"Financial and energy-related terms, including specific commodities and market metrics.",0.65,0.569,0.897,0.51,And & Economic,And Tech
28,84,Financial metrics and dates in stock news,0.625,0.538,0.833,0.5,And & Metrics,And Metrics
22,76,"Key business and technology actions, roles, or achievements",0.653,0.492,0.705,0.608,And & Contexts,And Contexts
28,56,Sentence boundaries in financial and market analysis text.,0.429,0.543,0.75,0.3,And & Economic,Sentence And
28,62,Financial and business-related terms and concepts,0.839,0.723,0.77,0.922,And & Contexts,And Concepts
10,108,Suffixes and endings of financial and business terms,0.925,0.86,1.0,0.86,And & Contexts,And Performance
4,58,End of sentence or section marker in financial/news articles,0.59,0.508,0.852,0.451,Sentence & Marker,Sentence End
28,189,Business entities and their actions,0.75,0.631,0.783,0.72,And & Contexts,And Contexts
16,98,"Pronouns and possessive adjectives referring to companies, entities, or individuals",0.71,0.585,0.767,0.66,And & Contexts,And Tech
4,210,"Actions and events in financial and business contexts, often involving specific times or actions.",0.774,0.631,0.745,0.804,And & Contexts,And Contexts
22,194,Current state or condition of entities in business or financial context,0.781,0.646,0.745,0.82,And & Contexts,And Contexts
4,327,"Beginning of news article titles, often stock-related",0.507,0.431,0.76,0.38,And & Contexts,And News
22,114,Functional and structural text elements,0.533,0.462,0.8,0.4,And & Contexts,And Elements
28,173,Financial and stock market terminology and symbols,0.808,0.708,0.816,0.8,And & Economic,And Contexts
10,244,"Current, recent, or ongoing actions, states, or events",0.628,0.508,0.75,0.54,And & Contexts,And States
4,297,Common function words with occasional financial/business terms,0.958,0.92,1.0,0.92,And & Contexts,And Performance
16,344,"Corporate and industry-specific terms, including company names and technical segments.",0.83,0.723,0.786,0.88,And & Names,And Names
10,34,"Financial and business relationships, including investments and joint ventures.",0.643,0.538,0.794,0.54,And & Contexts,And Contexts
10,65,Punctuation and common words in financial contexts,0.719,0.615,0.821,0.64,And & Contexts,And Words
22,248,End of sentences in financial and stock-related contexts,0.56,0.56,0.5,0.636,Stock & And,End Sentences
16,132,"Financial and economic terms, market conditions, and entities",0.86,0.769,0.807,0.92,And & Economic,And Economic
4,10,Significant business and market events or achievements,0.585,0.477,0.75,0.48,And & Contexts,And Words
